Title,Year,Publisher,Developer
3 Ninjas Kick Back,1994,Sony Imagesoft,Malibu Interactive
The 7th Saga,1993,Enix,Produce
90 Minutes European Prime Goal,1995,Ocean Software,Namco
AAAHHH!!! Real Monsters,1995,Viacom New Media,Realtime Associates
ABC Monday Night Football,1993,Data East,Data East
Acme Animation Factory,1994,Sunsoft,Probe
Actraiser,1991,Enix,Quintet
Actraiser 2,1993,Enix,Quintet
The Addams Family,1992,Ocean Software,Ocean Software
The Addams Family: Pugsley's Scavenger Hunt,1993,Ocean Software,Ocean Software
Addams Family Values,1995,Ocean Software,Ocean Software
The Adventures of Batman & Robin,1994,Konami,Konami
The Adventures of Dr. Franken,1993,DTMC,MotiveTime
The Adventures of Mighty Max,1995,Ocean Software,Ocean Software
The Adventrues of Rocky and Bullwinkle and Friends,1993,THQ,Imagineering
The Adventures of Tintin: Prisoners of the Sun,1996,Infogrames,Infogrames
Adventures of Yogi Bear,1994,Cybersoft,Empire Software
Aero Fighters,1994,Video System,Video System
Areo the Acro-Bat,1993,Sunsoft,Iguana Entertainment
Aero the Acro-Bat 2,1994,Sunsoft,Iguana Entertainment
Aerobiz,1993,Koei,Koei
Aerobiz Supersonic,1994,Koei,Koei
Air Cavalry,1995,Cybersoft,Synergistic Software
Al Unser Jr's Road to the Top,1994,Mindscape,Radical Entertainment
Aladdin,1993,Capcom,Capcom
Alien 3,1992,Acclaim,Probe
Alien Vs Predator,1993,Activision,Jorudan
American Gladiators,1993,GameTec,Imagitec Design
An Americal Tail: Fievel Goes West,1994,Hudson Soft,Shimada Kikaku
Andre Agassi Tennis,1994,Tec Magik,Radiance Software
Another World,1992,Interplay,Delphine Software
Animaniacs,1994,Konami,Konami
Arcade's Greatest Hits: The Atari Collection 1,1997,Midway Games,Digital Eclipse
Arcana,1992,HAL Laboratory,HAL LAboratory
Ardy Lightfoot,1994,Titus Software,ASCII Entertainment
Arkanoid: Doh it Again,1997,Nintendo,Taito
Art of Fighting,1993,Takara,Monolith Corporation
A.S.P. Air Strike Patrol,1994,"SETA (US), System 3 (EU)",Opus
Asterix,1993,Infogrames,Infograms
Asterix & Obelix,1996,Infogrames,Infograms
Axelay,1992,Konami,Konami
Ballz 3D,1994,Accolade,PF MAgic
Barbie: Super Model,1993,Hi-Tech Expressions,Software Creations
Barkley: Shut up and Jam!,1994,Accolade,Accolade
Bass Masters Classic,1995,Malibu Games,Malibu Games
Bass Masters Classic: Pro Edition,1996,Halibu Games,Malibu Games
Bassin's Black Bass,1994,Hot-B,Starfish
Batman Forever,1995,Acclaim,Probe
Batman Returns,1993,Konami,Konami
Battle Blaze,1994,American Sammy,Aicom
Battle Cars,1993,Malibu Interactive,Namco
Battle Clash,1992,Nintendo,Intelligent Systems
Battle Grand Prix,1993,Hudson Soft,KID
Battletoads & Double Dragon: The Ultimate Team,1993,Tradewest,Rare
Battletoads in Battlemaniacs,1993,Tradewest,Rare
Bazooka Blitzkrieg,1992,Bandai,Tose
Beauty and the Beast,1994,Hudson Soft,Probe
Beavis and Butt-head,1994,Viacom New Media,Realtime Associates
Bebe's Kids,1994,Motown Software,Radical Entertainment
Beethoven: The Ultimate Canine Caper,1993,Hi-Tech Expressions,Riedel Software PRoductions
Best of the Best: Championship Karate,1993,Electro Brain,Loriciel
Big Sky Trooper,1995,JVC,LucasArts
Biker Mice from Mars,1994,Konami,Konami
Bill Laimbeer's Combat Basketball,1991,Hudson Soft,Hewson Consultants
Bill Walsh College Football,1993,Electronic Arts,EA / Visual Concepts
Biometal,1993,Activision,Athena
Blackthorne,1995,Interplay,Blizzard
Blazeon: The Bio-Cyborg Challenge,1992,Atlus,AI
The Blues Brothers,1993,Titus Software,Titus Software
B.O.B.,1993,Electronic Arts,Gray Matter
Bonkers,1994,Capcom,Sun L
BoggermanL A Pick and Flick Adventure,1995,Interplay,Interplay
Boxing Legends of the Ring,1993,Electro Brain,Sculptured Software
Brain Lord,1994,Enix,Produce
The Brainies,1994,Titus Software,Titus Software
Bram Stoker's Dracula,1993,Sony Imagesoft,Psygnosis
Brandish,1995,Koei,Koei
Brawl Brother,1993,Jaleco,Jaleco
Breakthru!,1994,Specrum Holobyte,Artech
Breath of Fire,1994,Square,Capcom
Breath of Fire ||,1995,Capcom,Capcom
Brett Hull Hockey,1994,Accolade,Radical Entertainment
Brett Hull Hockey '95,1995,Accolade,Radical Entertainment
Bronkie The Bronchiasaurus,1995,Raya Systems,WaveQuest
Brunswick World: Tournament of Champions,1997,THQ,Tiertex
Brutal: Paws of Fury,1994,GameTek,Eurocom
Bubsy in Claws Encounters of the Furred Kind,1993,Accolade,Accolade
Bubsy ||,1994,Accolade,Accolade
Bugs Bunny Rabbit Rampage,1994,Sunsoft,Viacom New Media
Bulls Vs Blazers and the NBA Playoffs,1992,Electronic Arts,Electronic Arts
Bust-a-move,1995,Taito,Taito
Cacoma Knight in Bizyland,1993,"SETA (US), System 3 (EU)",Affect
Cal Ripken Jr Baseball,1992,Mindscape,Mindscape
California Games 2,1992,DTMC,Silicon Sorcery
Cannon Fodder,1994,Virgin Interactive,Sensible Software
Cannondale Cup,1994,ASC / Life Fitness Entertainment,Radical Entertainment
Capcom's MVP Football,1992,Capcom,Equilibrium
Capcom's Soccer Shootout,1994,Capcom,A-Max
Captain America and the Avengers,1993,Mindscape,Realtime Associates
Captain Commando,1995,Capcom,Capcom
Captain Novolin,1992,Raya Systems,Sculptured Software
Carrier Aces,1995,Cybersoft,Synergistic Software
Casper,1996,Nastsume,Imagineering
Castlevania: Dracula X,1995,Konami,Konami
Champions World Class Soccer,1994,Acclaim,Park Place Productions
Championship Pool,1993,Mindscape,Bitmasters
The Chaos Engine,1993,Spectrum Holoyte,The Bitmap Brothers
The Chessmaster,1991,Mindscape,Mindscape
Chester Cheetah: Too Cool To Fool,1992,Kaneko,Kaneko
Chest Cheetah: Wild Wild Quest,1994,Kaneko,Kaneko
Choplifter |||,1994,Extreme Entertainment Group,Beam Software
Chrono Trigger,1995,Square,Square
Chuck Rock,1992,Sony Imagesoft,Core Design 
Civilization,1995,Koei,Micropose
Clayfighter,1993,Interplay,Visual Concepts
Clayfighter: Tournament Edition,1994,Interplay,Visual Concepts
Clayfighter 2: Judgement Clay,1995,Interplay,Interplay
Claymates,1993,Interplay,Visual Concepts
Cliffhanger,1993,Sony Imagesoft,Malibu Interactive
Clue,1992,Parker Brothers,Sculptured Software
College Football USA '97: The Road to New Orleans,1996,Electronic Arts,Black Pearl Software
College Slam,1996,Acclaim,Iguana Entertainment
The Combatribes,1993,American Technos,Technos Japan
Congo's Caper,1993,Data East,Data East
Contra |||: The Alien Wars,1992,Konami,Konami
Cool Spot,1993,Virgin Interactive,Virgin Interactive
Cool World,1992,Ocean Software,Painting By Numbers
Cutthroat Island,1996,Acclaim,Software Creations
Cyber Spin,1992,Takara,Takara
Cybernator,1993,Konami,NCS
Daffy Ducks: The MArvin Missions,1993,Sunsoft,ICOM Simulations
Darius Twin,1991,Taito,Taito
David Crane's Amazing Tennis,1992,Absolute Entertainment,David Crane
Daze Before Christmas,1994,Sunsoft,Funcom
The Death and Return of Superman,1994,Sunsoft,Blizzard Entertainment
Demolition Man,1995,Acclaim,Virgin Interactive
Demon's Crest,1994,Capcom,Capcom
Dennis the Menace,1993,Ocean Software,Ocean Software
Desert Strike: Return to the Gulf,1992,Electronic Arts,Visual Concepts
D-Force,1991,Asmik Ace Entertainment,Asmik Ace Entertainment
Dig & Spike Volleeyball,1993,Hudson Soft,Tose
Dinocity,1992,Irem,Irem
Dino Dini's Soccer,1994,Virgin Interactive,Eurocom
Dirt Racer,1995,Elite Systems,MotiveTime
Dirt Trax FX,1995,Acclaim,Sculptured Software
Donkey Kong Country,1994,Nintendo,Rare
Donkey Kong Country 2: Diddy's Kong Quest,1995,Nintendo,Rare
Donkey Kong Country 3: Dixie Kong's Double Trouble,1996,Nintendo,Rare
Doom,1995,Williams Entertainment / Ocean,Sculptured Software
Doom Troopers,1995,Playmates,Adrenalin Interactive
Doomsday Warrior,1993,Renovation Products,Last Soft
Double Dragon V: The Shadow Falls,1994,Tradewest,Leland Interactive Media
Dragon: The Bruce Lee Story,1995,Acclaim Entertainment,Virgin Interactive
Dragon Ball Z: Super Butoden,1993,Bandai,Tose
Dragon Ball Z: La Legende Saien,1994,Bandai,Tose
Dragon Ball Z: Ultime Menace,1995,Bandai,Tose
Dragon Ball Z: Hyper Dimension,1997,Bandai,Tose
Dragon View,1994,Kemco,Kemco
Dragon's Lair,1993,Data East,Motive Time
Drakkhen,1991,Kemco-Seika,Infogrames
Dream TV,1994,Triffix,Triffix
The Duel: Test Drive ||,1992,Accolade,Distinctive Software
Dungeon Master,1993,JVC Nintendo,FTL Games
Earthbound,1995,Playmates,Hal Laboratory
Earthworm Jim,1994,Playmates,Shiny Entertainment
Earthworm Jim 2,1995,Ocean,Shiny Entertainment
Eek! The Cat,1994,Ocean,CTA Developments
Emmit Smith Football,1995,JVC,Bitmasters
Equinox,1994,Sony Imagesoft,Software Creations
ESPN Baseball Tonight,1994,Sony Imagesoft,Park Place Productions
ESPN National Hockey Night,1994,Sony Imagesoft,Sony Imagesoft
ESPN Speed World,1994,Sony Imagesoft,Sony Imagesoft
ESPN Sunday Night NFL,1994,Sony Imagesoft,Absolute Enterainment
E.V.O. Search For Eden,1993,Enix,Almanac
Extra Innings,1992,Sony Imagesoft,Sting Entertainment
Eye of the Beholder,1994,Capcom,Capcom
F-Zero,1991,Nintendo,Nintendo
F1 Pole Posiiton,1993,Ubisoft,Human Entertainment
F1 Pole Posiiton 2,1994,Ubisoft,Human Entertainment
F1 ROC: Race of Champions,1992,SETA / Ocean,SETA
F1 ROC ||: Race of Champions,1994,SETA / Ocean,SETA
F1 World Championship Edition,1995,Acclaim,Domark
Faceball 2000,1992,Bullet-Proof Software,Xanth Software
Family Dog,1993,Malibu Games,Imagineering
Family Feud,1993,GameTek,Imagineering
Fatal Fury,1993,Takara,Nova
Fatal Fury 2,1994,Takara,Nova
Fatal Fury Special,1995,Takara,Takara
FIFA International Soccer,1994,Electronic Arts,Extended Play Productions
FIFA Soccer 96,1995,Electronic Arts,Extended Play Productions
FIFA 97,1996,Electronic Arts,Electronic Arts
FIFA: Road to World Cup 98,1997,Electronic Arts,Electronic Arts
Fighter's History,1994,Data East,Data East
Final Fantasy ||,1991,Square,Square
Final Fantasy |||,1994,Square,Square
Final Fantasy Mystic Quest,1992,Square,Square
Final Fight,1991,Capcom,Capcom
Final Fight 2,1993,Capcom,Capcom
Final Fight 3,1995,Capcom,Capcom
Final Fight Guy,1994,Capcom,Capcom
The Firemen,1994,Human Entertainment,Human Entertainment
Firepower 2000,1992,Sunsoft,Sales Curve Interactive
Firestriker,1994,DTMC,Axes Art Amuse
First Samurai,1993,Kemco,Kemco
Flashback,1994,US Gold,Delphine
The Flinstones,1995,Ocean Software,Ocean Software
The Flinstones: The Treasure of Sierra Madrock,1994,Taito,Taito
Football Fury,1993,American Sammy,American Sammy
Foreman For Real,1995,Acclaim,Software Creations
Frank Thomas Big Hurt Baseball,1995,Acclaim,Iguana Entertainment
Frantic Flea,1996,GameTek,Haus Teknikka
Frogger,1998,Majesco,Morning Star Multimedia
Full Throttle: All-American Racing,1994,Cybersoft / GameTek,Gremlin Interactive
Fun 'N Games,1994,Tradewest,Leland Interactive Media
Gemfire,1992,Koei,Koei
Genghis Khan ||: Clan of the Grey Wold,1993,Koei,Koei
George Foreman's KO Boxing,1992,Acclaim,Beam Software
Ghoul Patrol,1994,JVC,LucasArts / Motion Pixel
Goal!,1992,Jaleco,Tose
Gods,1992,Mindscape,Bitmap Brothers
Goof Troop,1993,Capcom,Capcom
GP-1,1993,Atlus,Atlus
GP-1: Part ||,1994,Atlus,Atlus
Gradius |||,1991,Konami,Konami
The Great Circus Mystery Starring Mickey and Minnie,1994,Capcom,Capcom
The Great Waldo Search,1993,THQ,Radiance Software
Gunforce,1992,Irem,Bits Studios
Hagane: The Final Conflict,1995,Hudson Soft,CAProduction
Hal's Hole in One Golf,1991,HAL Laboratory,Hal Laboratory
Hammerlock Wrestling,1994,Jaleco,Jaleco
Hanna-Barbera's Turbo Toons,1994,Entertainment International UK,Empire Interactive
Hardball |||,1994,Accolade,Accolade
Harley's Humongous Adventure,1993,Hi Tech Expressions,Visual Concepts
Harvest Moon,1997,Natsume,Pack-In Video
Head-On Soccer,1995,US Gold,US Gold
Hebereke's Popoitto,1995,Sunsoft,Sunsoft
Hebereke's Popoon,1994,Sunsoft,Sunsoft
Hit The Ice,1993,Taito,Taito
Home Alone,1991,THQ,Imagineering
Home Alone 2: Lost In New York,1992,THQ,Imagineering
Home Improvement: Power Tool Pursuit!,1994,Absolute Entertainment,Imagineering
Hook,1992,Sony Imagesoft,Ukiyotei
The Humans,1993,GameTek,Imagitec Design
Hungry Dinosaurs,1995,Sunsoft,Magical Company
The Hunt for Red October,1993,Hi Tech Expressions,Riedel Software Productions
Hurricanes,1994,US Gold,Probe
Hyper V-Ball,1994,Mc O'River / Ubisoft,Video System
Hyperzone,1991,HAL Laboratory,HAL Laboratory
The Ignition Factor,1995,Jaleco,Jaleco
Illusion of Gaia,1994,Nintendo,Quintet
Imperium,1992,Vic Tokai,Vic Tokai
Incantation,1996,Titus Software,Titus Software
The Incredible Crash Dummies,1993,IJN,Gray Matter
The Incredible Hulk,1993,US Gold,Probe
Indiana Jones` Greatest Adventures,1994,JVC / LucasArts,Factor 5
Inindo: Way of the Ninja,1993,Koei,Koei
Inspector Gadget,1993,Hudson Soft,AIM
International Superstar Soccer,1995,Konami,Konami
International Superstar Soccer Deluxe,1995,Konami,Konami
International Tennis Tour,1993,Taito,Loricel
The Irem Skins Game,1992,Irem,Irem
The Itchy & Scratchy Game,1995,Acclaim,Bits Studios
Izzy's Quest for the Olympic Rings,1995,US Gold,Alexandria
J.R.R Tolkien's The Lord of the Rings Vol 1.,1994,Interplay,Interplay
Jack Nicklaus Golf,1992,Tradewest,Tradewest
James Bond JR,1992,THQ,Greay Matter
James Pond 3: Operation Starfish,1993,Electronic Arts,Millennium Interactive
Jammit,1994,GTE Interactive Media,GTE Interactive Media
Jelly Boy,1995,Ocean Software,Probe
Jeopardy!,1992,GameTek,Imagineering
Jeopardy! Deluxe Edition,1994,GameTek,GameTek
Jeopary! Sports Edition,1994,GameTek,GameTek
The Jetsons: Invasion of the Planet Pirates,1994,Taito,Sting Entertainment
Jim Power: The Lost Dimension in 3D,1993,Electro Brain,Loriciel
Jimmy Connors Pro Tennis Tour,1992,Ubisoft,Blue Byte
Jimmy Houston's Bass Tournament USA,1995,American Sammy,American Sammy
Joe & Mac,1992,Data East,Data East
Joe & Mac 2: Lost in The Tropics,1994,Data East,Data East
John Madden Football,1991,Electronic Arts,Park Place Productions
John Madden Football `93,1992,Electronic Arts,EA Canada
Judge Dredd,1995,Acclaim,Probe
The Jungle Book,1994,Virgin Interactive,Virgin Interactive
Jungle Strike,1995,Electronic Arts,Gremlin Interactive
Jurassic Park,1993,Ocean Software,Ocean Software
Jurassic Park 2: The Chaos Continues,1995,Ocean Software,Ocean Software
Justice LEague Task Force,1995,Acclaim,Blizzard
Ka-Blooey,1992,Kemco,Kemco
Kawasaki Caribbean Challenge,1993,GameTek,Park Place Productions
Kawasaki Superbike Challenge,1995,Time Warner Interactive,Domark
Ken Griffey Jr Presents Major League Baseball,1994,Nintendo,Software Creations
Ken Griffey Jr's Winning Run,1996,Nintendo,Rare
Kendo Rage,1993,SETA,SETA
KEvin Keegan's Player Manager,1993,Imagineer,Anco
Kick Off,1993,Imagineer,Anco
Kick Off 3: European Challenge,1994,Imagineer,Anco
Kid Clown in Crazy Chase,1994,Kemco,Kemco
Killer Instinct,1995,Nintendo,Rare
King Arthur & The Knights of Justice,1995,Enix,Manley & Associates
King Arthur's World,1993,Jaleco,Argonaut Games
The King of Dragons,1994,Capcom,Capcom
King of the Monsters,1992,Takura,Genki
King of the Monsters 2,1994,Takura,Takara
Kirby's Avalanche,1995,Nintendo,Compile/HAL LAboratory
Kirby's Dream Course,1995,Nintendo,Hal Laboratory
Kirby's Dream Land 3,1997,Nintendo,Hal Laboratory
Kirby Super Star,1996,Nintendo,Hal Laboratory
Knights of the Round,1994,Capcom,Capcom
Krusty's Super Fun House,1992,Acclaim,Audiogenic
Kyle Petty's No Fear Racing,1995,William Entertainment,Leland Interactive Media
Lagoon,1992,Seika Corporation,Kemco
Lamborghini American Challenge,1993,Titus Software,Titus Software
Last Action Hero,1993,Sony Imagesoft,Bits Studios
The Lawnmower Man,1993,THQ,Sales Curve Interactive
Legend,1994,Seika Corporation,Arcade Zone
The Legend of the Mystical Ninja,1992,Konami,Konami
The Legend of Zelda: A Link to the Past,1992,Nintendo,Nintendo
Lemmings,1992,Sunsoft,Psygnosis
Lemmings 2: The Tribes,1994,Psygnosis,Psygnosis
Lester the Unlikely,1994,DTMC,Visual Concepts
Lethal Enforcers,1994,Konami,Konami
Lethal Weapon,1992,Ocean Software,Ocean Software
Liberty or Death,1994,Koei,Koei
The Lion King,1994,Virgin Interactive,Westwood Studios
Lock On,1993,Vic Toaki,Copya System
Lonney Tunes B-Ball,1995,Sunsoft,Sculptured software
The Lost Vikings,1993,Interplay,Silicon & Synapse
The Lost Vikings 2,1997,Interplay,Blizzard Entertainment
Lucky Luke,1997,Infrogrames,Infogrames
Lufia & The Fortress of Doom,1993,Taito,Neverland
Lufia ||: Rise of the SInistrals,1996,Natsume,Neverland
Macs,1993,US Army,Sculptured Software
Madden NFL 94,1993,Electronic Arts,Visual Concepts
Madden NFL 95,1995,Electronic Arts,Visual Concepts
Madden NFL 96,1994,Electronic Arts,Tiburon Entertainment
Madden NFL 97,1996,Electronic Arts,Tiburon Entertainment
Madden NFL 98,1997,Electronic Arts,Tiburon Entertainment
MAgic Boy,1996,JVC,Empire Software
Magic Sword,1992,Capcom,Minakuchi Engineering
The Magical Quest Starring Mickey Mouse,1992,Capcom,Capcom
Machester United Championship Soccer,1995,Ocean Software,Krisalis Software
Mario is Missing!,1993,The Software Toolworks,The Software Toolworks
Mario Paint,1992,Nintendo,Nintendo R&D1 / Intelligent Systems
Mario's Early Years! Fun with Letters,1994,The Software Toolworks,The Software Toolworks
Mario's Early Years! Fun With Numbers,1994,The Software Toolworks,The Software Toolworks
Mario's Early Years! Preschool Fun,1994,The Software Toolworks,The Software Toolworks
Mario's Time Machine,1993,The Software Toolworks,The Software Toolworks
Mark Davis` The Fishing Master,1995,Natsume,Natsume
Marko's Magic Football,1995,Acclaim,Domark
Marvel Super Heroes in the War of the Gems,1996,Capcom,Capcom
Mary Shelley's Frankenstein,1994,Sony Imagesoft,Bits Studios
The Mask ,1995,Black Pearl Software,Black Pearl Software
Math Blaster: Episode 1,1994,Davidson & Associates,Western Technologies
Maui Mallard In Cold Shadow,1996,Nintendo,Eurocom
Mecarobot Golf,1993,Toho,Toho
Mechwarrior,1993,Activision,Beam Software
Mechwarrior 3050,1995,Activision,Tiburon Entertainment
Mega-lo-mania,1994,Virgin Interactive,Sensible Software
Mega Man 7,1995,Capcom,Capcom
Mega Man Soccer,1994,Capcom,Sun L
Mega Man X,1994,Capcom,Capcom
Mega Man X2,1995,Capcom,Capcom
Mega Man X3,1996,Capcom,Minakuchi Engineering
Metal Combat: Falcon's Revenge,1993,Nintendo,Intelligent Systems
Metal Marines,1993,Namco,Namco
Metal Morph,1994,FCI,Origin Systems
Metal Warriors,1995,Konami,LucasArts
Michael Andretti's Indy Car Challenge,1994,Bullet-Proof Software,Genki
Michael Jordan: Chaos in the Windy City,1994,Electronic Arts,Electronic Arts
Mickey Mania: Tjhe Timeless Adventures of Mickey Mouse,1994,Sony Imagesoft,Traveller's Tales
Mickey's Ultimate Challenge,1994,Hi Tech Expressions,Designer Software
Micro Machines,1994,Ocean Software,Codemasters
Micro Machines 2: Turbo Tournament,1996,Ocean Software,Merit Studios
Might and Magic ||: Gates to Another World,1993,Elite Systems,Iguana Entertainment
Might and MAgic |||: Isles of Terra,1995,FCI,Iguana Entertainment
Mighty Morphin Power Rangers,1994,Bandai,Natsume
Mighty Morphin Power Rangers: The Fighting Edition,1995,Bandai,Natsume
Mighty Morphin Power Rangers: The Movie,1995,Bandai,Natsume
The Miracle PianoTeaching System,1991,The Software Toolworks,The Software Toolworks
MLBPA Baseball,1994,Electronic Arts,Visual Concepts
Mohawk & Headphone Jack,1996,THQ,Black Pearl Software
Monopoly,1992,Parker Brothers,Sculptured Software
Mortal Kombat ,1993,Acclaim,Sculptured Software
