Title,Year,Publisher,Developer
Mortal Kombat 2,1994,Acclaim,Sculptured Software
Mortal Kombat 3,1995,Acclaim,Sculptured Software
Mr Do!,1996,Black Peral Software,C-Lab
Mr Nutz,1993,Ocean Software,Ocean Software
Ms Pac-Man,1996,William Entertainment,Digital Ecplise
Musya,1992,SETA,Jordan
Natsume Championship Wrestling,1994,Natsume,Natsume
NBA All-Star Challenge,1992,UN,Beam Software
NBA Give `N Go,1995,Konami,Konami
NBA Hangtime,1996,Midway Games,Funcom
NBA Jam,1994,Acclaim,Iguana Entertainment
NBA Jam Tournament Edition,1995,Acclaim,Iguana Entertainment
NBA Live 95,1994,Electronic Arts,Electronic Arts
NBA Live 96,1995,Electronic Arts,Electronic Arts
NBA Live 97,1996,Electronic Arts,Electronic Arts
NBA Live 98,1997,THQ / EA,Tiertex
NBA Showdown,1993,Electronic Arts,Electronic Arts
NCAA Basketball,1992,HAL Laboratory / Nintendo,Sculptured Software
NCAA Final Four Basketball,1995,Mindscape,Bitmasters
NCAA Football,1994,Mindscape,The Software Toolworks
Newman/Haas Indycar Featuring Nigel Mansell,1994,Acclaim,Gremlin Interactive
NFL Football,1993,Konami,Park Place Productions
NFL Quarterback Club,1994,IJN,Iguana Entertainment
NFL Quarterback Club 96,1995,Acclaim,Iguana Entertainment
NHLPA Hockey 93,1992,Electronic Arts,Electronic Arts
NHL 94,1993,Electronic Arts,Electronic Arts
NHL 95,1994,Electronic Arts,Visual Concepts
NHL 96,1995,Electronic Arts,High Score Productions
NHL 97,1996,Electronic Arts,Black Pearl Software
NHL 98,1997,THQ,Electronic Arts
NHL Stanley Cup,1993,Nintendo,Sculptured Software
Nickelodeon Guts,1994,Viacom New Media,Viacom New Media
Nigel Mansell's World Championship,1993,GameTek,Gremlin Graphics
Ninja Gaiden Trilogy,1995,Tecmo,Tecmo
The Ninja Warriors,1994,Taito,Natsume
No Escape,1994,Sony Imagesoft,Bits Studios
Nobunaga's Ambition,1993,Koei,Koei
Nobunaga's Ambition: The Lord of Darkness,1994,Koei,Koei
Nolan Ryan's Baseball,1992,Romstar,Affect
Nosferatu,1995,SETA,SETA
Obitus,1994,Bullet-Proof Software,Psygnosis
Ogre Battle: The March of the Black Queen,1995,Enix,Quest
Olympic Summer Games,1996,US Gold,Black Pearl Software
On the Ball,1992,Taito,Taito
Operation Europe: Path to Victory,1994,Koei,Koei
Operation Logic Bomb,1993,Jaleco,Jaleco
Operation Thunderbolt,1994,Taito,Aisystem Tokyo
Oscar,1996,Titus Software,Flair Software
Out to Lunch,1993,Mindscape,Mindscape
Outlander,1993,Mindscape,Mindscape
Pac-Attack,1993,Namco,Namco
Pac-In-Time,1994,Namco,Kalisto Entertainment
Pac-Man 2: The New Adventures,1994,Namco,Namco
Packy and MArlon,1995,Raya Systems,Wave Quest
The Pagemaster,1994,Fox Interactive,Probe
Paladin's Quest,1993,Enix,Copya System
Paperboy 2,1991,Mindscape,Mindscape
Parodius: Non-Sense Fantasy,1992,Konami,Konami
The Peace Keepers,1994,Jaleco,Jaleco
PGA European Tour,1996,Electronic Arts,Electronic Arts
PGA Tour 96,1996,Electronic Arts,Electronic Arts
PGA Tour Golf,1992,Electronic Arts,Electronic Arts
Phalanx,1992,Kemco,Kemco
Phantom 2040,1995,Viacom New Media,Viacom New Media
Pieces,1994,Atlus,Atlus
Pilotwings,1991,Nintendo,Nintendo
Pinball Dreams,1994,GameTek,GameTek
Pinball Fantasies,1995,GameTek,GameTek
Ping Goes to Hollywood,1993,TecMagik,TecMagik
Pinocchio,1996,Disney Interactive,Disney Interactive
The Pirates of Dark Water,1994,Sunsoft,Sunset
Pitfall: The Mayan Adventure ,1994,Activision,Activision
Pit-Fighter,1994,THQ,THQ
Plok,1993,Tradewest,Tradewest
Pocky & Rocky,1993,Natsume,Natsume
Pocky & Rocky 2,1994,Natsume,Natsume
Pop'N Twinbee,1993,Palcom,Palcom
Pop'N Twinbee: Rainbow Bell Adventures,1994,Konami,Konami
Populous,1991,Acclaim,Acclaim
Populous ||: Trials of the Olympian Gods,1993,Imagineer,Imagineer
Porky's Pig's Haunted Holiday,1995,Acclaim,Phoenix Interactive Entertainment
Power Drive,1994,Rage Software,US Gold
Power Instinct,1994,Atlus,Atlus
Power Moves,1993,Kaneko,Kaneko
Power Piggs of the Dark Age,1996,Titus Software,Radical Entertainment
Power Rangers Zeo: Battle Racers,1996,Bandai,Natsume
Powermonger,1993,Imagineer,Bullfrog Productions
Prehistorik Man,1996,Titus Software,Titus Software
Primal Rage,1995,Time Warner Interactive,Bitmasters
Prince or Persia,1992,Konami,Arsys Software
Prince of Persia 2: The Shadow and the Flame,1996,Titus Software,Titus Software
Pro Quarterback,1992,Tradewest,Tradewest
Pro Sport Hockey,1994,Jaleco,Tose
P.T.O PAcific Theater of Operations,1993,Koei,Koei
P.T.O. ||: Pacific Theater of Operations,1995,Koei,Koei
Pushover,1992,Ocean Software,Red Rat Software
Putty Squad,1994,Ocean Software,System 3
Q*Bert 3,1992,NTVIC,Realtime Associates
Race Drivin`,1992,THQ,Imagineering
Radical Rex,1994,Activision,Laser Beam Entertainment
Raiden Trad,1992,Electro Brain,Micronics
Rampart,1992,Electronic Arts,Bitmasters
Ranma 1/2: Hard Battle,1993,DTMC,Atelier Doule
Rap Jam: Volume One,1995,Mandingo Entertainment,Motown Software
Realm,1996,Titus Software,Titus Software
Redline F-1 Racer,1993,Absolute Entertainment,Absolute Entertainment
Relief Pitcher,1994,Left Field Productions,Left Field Productions
The Ren & Stimpy Show: Buckeroo$!,1993,THQ,Imagineering
The Ren & Stimpy Show: Fire Dogs,1994,THQ,Argonaut Games
The Ren & Stimpy Show: Time Warp,1994,THQ,Sculptured Software
The Ren & Stimpy Show: Veediots!,193,THQ,Gray Matter
Revolution X,1995,Acclaim,Software Creations
Rex Ronan: Experimental Surgeon,1994,Raya Systems,Sculptured Software
Riddick Bowe Boxing,1994,Extreme Entertainment GRoup,Malibu Interactive
Rise of the Phoenix,1995,Koei,Koei
Rise of the Robots,1994,Acclaim,Probe
Rival Turf!,1992,Jaleco,Jaleco
Road Riot 4WD,1992,THQ,Equilibrium
Road Runner's Death Valley Rally,1992,Sunsoft,Sunsoft
Robocop 3,1992,Ocean Software,Ocean Software
Robocop Vs The Terminator,1993,Virgin Interactive,Interplay
RoboTrek,1994,Enix,Quintet
Rock 'N' Roll Racing,1993,Interplay,Silicon & Synapse
The Rocketeer,1992,IGS,NovaLogic
Rocko's Modern Life: Spunky's Dangerous Day,1994,Viacom New Media,Viacom New Media
Rocky Rodent,1993,Irem,Irem
Roger Clemen's MVP Baseball,1992,UN,Sculptured Software
Romance of the Three Kingdoms || ,1992,Koei,Koei
Romance of the Three Kingdoms |||: Dragon of Destiny,1993,Koei,Koei
Romance of the Three Kingdoms IV: Wallof Fire,1995,Koei,Koei
RPM Racing,1991,Interplay,Silicon & Synapse
R-Type |||: The Third Lightning,1994,Jaleco,Tamtex
Run Saber,1993,Atlus,Hori Electric
Sailor Moon,1994,Bandai,Arc System Works
Samurai Shodown,1994,Takara,Takara
Saturday Night Slam Masters,1994,Capcom,Capcom
Scooby-Doo Mystery,1995,Acclaim,Argonaut Software
Seaquest DSV,1995,Malibu Games,Sculptured Software
Secret of Evermore,1995,Square,Square
Secret of Mana,1993,Square,Square
Secret of the Stars,1995,Tecmo,Tecmo
Sensible Soccer: European Champions,1992,Renegade Software,Sensible Software
Sensible Soccer: International Edition,1994,Sony Imagesoft,Sensible Software
Shaq Fu,1994,Electronic Arts,Delphine Software
Shien's Revenge,1994,Vic Tokai,Almanic
Side Pocket,1993,Data East,Iguana Entertainment
Simant,1993,Maxis Software,Tomcat System
SimCity,1991,Nintendo,Maxis / Nintendo
SimCity 2000,1996,THQ,Black Pearl Software
SimEarth,1993,FCI,Tomcat System
The Simpsons: Bart's Nightmare,1992,Acclaim,Sculptured Software
Sink or Swim,1994,Titus Software,Zeppelin Games
Skuljagger: Revolt of the Westicans,1992,American Softworks,Realtime Associates
Skyblazer,1994,Sony Imagesoft,Ukiyotei
Smart Ball,1992,Sony Imagesoft,Game Freak
Smash Tennis,1994,Virgin Interactive,Namco
The Smurgs,1994,Infogrames,Infogrames
The Smurfs Travel The World,1996,Infogrames,Infogrames
Snow White in Happily Ever After,1994,American Softworks,Imagitec Design
Soccer Kid,1994,Ocean Software,Krisalis Software
Sonic Blast Man,1992,Taito,ITL / Zuntata
Sonic Blast Man ||,1994,Taito,ITL / Taito
SOS,1994,Vic Tokai,Human Entertainment
Soul Blazer,1992,Enix,Quintet
Space Ace,1994,Absolute Entertainment,Entertainment International
Space Football: One on One,1992,Triffix,Bits Studios
Space Invaders,1997,Nintendo,Taito
Spectre,1994,Cybersoft,Synergistic Software
Speed Racer In My Most Dangerous Adventure,1994,Accolade,Radical Entertainment
Speedy Gonzales: Los Gatos Banditos,1995,Sunsoft,Majesco Entertainment
Spider-Man,1995,IJN,Western Technologies
Spider-Man and Venom: Maximum Carnage,1994,IJN,Software Creations
Spider-Man and the X-Men in Arcade's Revenge,1992,IJN,Software Creations
Spidizzy Worlds,1992,ACII Entertainment / Activision,ASCII Entertainment
Spirou,1995,Infogrames,Infogrames
The Sporting News: Power Baseball,1995,Hudson Soft,Now Production
Sports Illustrated: Championship Football & Baseball,1994,Malibu Games,Malibu Games
Star Fox,1993,Nintendo,Nintendo EAD / Argonaut
Star Trek: Deep Space Nine - Crossroads of Time,1995,Playmates,Novotrade
Star Trek: Starfleet Academy - Starship Bridge Simulator,1994,Interplay,Paramout Interactive
Star Trek: The Next Generation - Future's Past,1994,Spectrum Holobyte,Spectrum Holobyte
Stargate,1995,Acclaim,PRobe
Steel Talons,1993,Left Field Productions,Panoramic
Sterling Sharp: End 2 End,1995,Jaleco,Tose
Stone Protectors,1994,Kemco,Eurocom
Street Combat,1993,Irem,Opus Corporation
Street Fighter ||: The World Warrior,1992,Capcom,Capcom
Street Fighter ||: Turbo: Hyper Fighting,1993,Capcom,Capcom
Street Fighter Alpha 2,1996,Nintendo,Capcom
Street Hockey 95,1994,GTE Interactive Media,GTE Interactive Media
Street Racer,1994,Ubisoft,Vivid Image
Strike Gunner S.T.G,1992,NTVIC,Athena
Striker,1993,Elite / Atlus,Rage Software
Super 3D Noah's Ark,1994,Wisdom Tree,Wisdom Tree
Super Adventure Island,1992,Hudson Soft,Produce!
Super Adventure Island ||,1995,Hudson Soft,Make Software
Super Alfred Chicken,1994,Mindscape,Twilight Games
The SUper Aquatic Games Starring the Aquabats,1993,Seika Corporation,Millennium Corporation
Super Baseball 2020,1993,Tradewest,Monolotith Corporation
Super Baseball Simulator 1.000,1991,Culture Brain,Culture Brain
Super Bases Loaded,1991,Jaleco,Tose
Super Bases Loaded 2,1994,Jaleco,Tose
Super Bases Loaded 3: License to Steal,1995,Jaleco,Tose
Super Batter Up,1992,Namco,Namco
Super Battleship,1993,Mindscape,World Builders Synergistic
Super Battletank: War in the Gulf,1992,Absolute Entertainment,Imagineering
Super Battletank 2,1994,Absolute Entertainment,Absolute Entertainment
Super Black Bass,1993,Hot-B,Starfish
Super Bomberman,1993,Hudson Soft,Produce!
Super Bomberman 2,1994,Hudson Soft,Produce!
Super Bomberman 3,1995,Hudson Soft,Hudson Soft
Super Bonk,1994,Hudson Soft,AI Company
Super Bowling,1992,Technos Japan,KID
Super Buster Bros,1992,Capcoim,Capcom
Super Caesars Palace,1993,Virgin Interactive,Illusion Softworks
Super Castlevania IV,1991,Konami,Konami
Super Chase HQ,1993,Taito,Taito
Super Conflict,1993,Vic Tokai,Vic Tokai
Super Dany,1994,Virgin Interactive,Cryo Interactive
Super Double Dragon,1992,Tradewest,Technos Japan
Super Dropzone,1995,Psygnosis,Eurocom
Super Earth Defense Force,1992,Jaleco,Jaleco
Super Ghouls 'N Ghosts,1991,Jaleco,Capcom
Super Goal! 2,1994,Capcom,Tose
Super Godzilla,1994,JAleco,Toho
Super High Impact,1993,Toho,Iguana Entertainment
Super Ice Hockey,1994,Acclaim,Opera House
Super International Cricket,1994,Sunsoft,Beam Software
Super James Pond,1993,Nintendo,American Softworks
Super Mario All-Stars,1993,American Softworks,Nintendo EAD
Super Mario Kart,1992,Nintendo,Nintendo
Super Mario RPG: Legend of the Seven Stars,1996,Nintendo,Square
Super Mardio World,1991,Nintendo,Nintendo
Super Mario World 2: Yoshi's Island,1995,Nintendo,Nintendo
Super Metroid,1994,Nintendo,Nintendo
Super Morph,1993,Sony Imagesoft,Millennium Interactive
Super Ninja Boy,1993,Culture Brain,Culture Brain
Super Nova,1993,Taito,Taito
Super Off Road,1992,Tradewest,Software Creations
Super Off Road: The Baja,1993,Tradewest,Software Creations
Super Pinball: Behind The Mask,1994,Nintendo,KaZe / Meldac
Super Play: Action Football,1992,Nintendo,Tose
Super Putty,1993,US Gold,System 3
Super Punch-Out!!,1994,Nintendo,Nintendo R&D 3
Super RBI Baseball,1995,Time Warner Interactive,Gray Matter
Super R-Type,1991,Irem,Irem
Super Scope 6,1992,Nintendo,Nintendo
Super Slam Dunk,1993,Virgin Interactive,Park Place Productions
Super Slap Shot,1993,Virgin Interactive,Ringler Studios
Super Smash TV,1992,Acclaim,Beam Software
Super Soccer,1992,Ninendo,Human Entertainment
Super Soccer Champ,1992,Taito,Taito
Super SOlitaire,1994,Extreme Entertainment Group,Extreme Entertainment Group
Super Star Wars,1992,JVC / LucasArts,Sculptured Software
Super Star Wars: The Empire Strikes Back,1993,JVC / LucasArts,Sculptured Software
Super Star Wars: Return of the Jedi,1994,JVC / LucasArts,Sculptured Software
Super Street Fighter ||: The New Challengers,1994,Capcom,Capcom
Super Strike Eagle,1993,MicroProse,MicroProse
Super Tennis,1991,Nintendo,Tonkin House
Super Troll Islands,1994,American Softworks,Kemco
Super Turrican,1993,Seika Corporation,Factor 5
Super Turrican 2,1995,Ocean Software,Factor 5
Super Valis IV,1993,Atlus,Telenet Japan
Super Widget,1993,Atlust,Atlus
Suzuka 8 Hours,1994,Namco,Namco
Swat Kats: The Radical Squadron,1995,Hudson Soft,AIM
Syndicate,1995,Ocean Software,Bullfrog Productions
Sylvalion,1993,Toshiba EMI,Taito
T2: The Arcade Game,1993,IJN,Probe
Taz-Mania,1993,Sunsoft,Visual Concepts
Tecmo Super Baseball,1994,Tecmo,Tecmo
Tecmo Super Bowl,1993,Tecmo,Tecmo
Tecmo Super Bowl ||: Special Edition,1995,Tecmo,Tecmo
Tecmo Super Bowl |||: Final Edition,1995,Tecmo,Tecmo
Tecmo Super NBA Basketball,1993,Tecmo,Tecmo
Teenage Mutant Ninja Turtles IV: Turtles In Time,1992,Konami,Konami
Teenage Mutant Ninja Turtles: Tournament Fighters,1993,Konami,Konami
The Terminator,1993,Mindscape,Mindscape
Terminator 2: Judgement Day,1993,IJN,Bits Studios
Terranigma,1996,Nintendo,Quintet
Tertis & Dr Mario,1994,Nintendo,Tose
Tetris 2,1994,Nintendo,Bullet-Proof Software
Tertris Attack,1996,Nintendo,Intelligent System
Theme Park,1996,Electronic Arts,Bullfrog Productions
Thomas The Tank Engine & Friends,1996,THQ,Software Creations
Thunder Spirits,1992,Seika Corporation,Technosoft
The Tick,1994,Fox Interactive,Software Creations
Time Slip,1993,Vic Tokai,Sales Curve Interactive
Time Trax,1994,Malibu Games,Malibu Games
Timecop,1995,JVC,Cryo Interactive
Timon & Pumbaa's Jungle Games,1997,THQ,Tiertex Design Studios
Tin Star,1994,Nintendo,Sofware Creations
Tintin In Tibet,1995,Infogrames,Infogrames
Tiny Toon Adventures: Buster Busts Loose!,1993,Konami,Konami
Tiny Toon Adventures: Wacky Sports Challenge,1994,Konami,Konami
TKO Super Championship Boxing,1992,SOFEL,String Entertainment
TNN Bass Tournament Of Champions,1994,American Softworks,Gaps
Tom and Jerry,1993,Hi Tech Expressions,Riedel Software Productions
Tommy Moe's Winter Extreme: Skiing & Snowboarding,1994,Electro Brain / Mindscape,Loricel
Tony Meola's Sidekicks Soccer,1993,Electro Brain,Sculptured Software
Top Gear,1992,Kemco,Gremlin Graphics
Top Gear 2,1993,Kemco,Gremlin Graphics
Top Gear 3000,1995,Kemco,Gremlin Graphics
Total Carnage,1993,Malibu Games,Black Pearl Software
Toy Story,1995,Disney Interactive,Traveller's Tales
Toys,193,Absolute Entertainment,Imagineering
Troddlers,1993,Seika Corporation,Atod
Troy Aikman NFL Football,1994,Tradewest,Tradewest
True Golf: Wicked 18,1993,Bullet-Proof Software,T&E Software
True Gold Classics: Pebble Beach Golf Links,1992,T&E Software,T&E Software
True Golf Classics: Waialae Country Club,1991,T&E Software,T&E Software
True Lies,1995,IJN,Beam Software
Tuff E Nuff,1993,Jaleco,Jaleco
Turn and Burn No-Fly Zone,1994,Absolute Entertainment,Absolute Entertainment
The Twisted Tales of Spike McFang,1994,Bullet-Proof Software,Red Entertainment
Ultima: Runes of Virtue,1994,FCI,Origin Systems
Ultima VI: The False Prophet,1994,FCI,Infinity Co
Ultima VII: The Black Gate,1994,FCI,Origin Systems
Ultimate Fighter,1994,Culture Brain,Culture Brain
Ultimate Mortal Kombat 3,1996,Williams Entertainment,Avalanche Software
Ultraman: Towards The Future,1991,Bandai,Beam Software
Uncharted Waters,1993,Koei,Koei
Uncharted Waters: New Horizons,1994,Koei,Koei
UN Squandron,1991,Capcom,Capcom
Uniracers,1994,Nintendo,DMA Design
The Untouchables,1994,Ocean Software,Ocean Software
Urban Stike,1995,THQ,Granite Bay Software
Utophia: The Creation of a Nation,1993,Jaleco,Jaleco
Vegas Stakes,1993,Nintendo,Hal Laboratory
Venom & Spiderman: Separation Anxiety,1995,Acclaim,Software Creations
Virtual Bart,1994,Acclaim,Sculptured Software
Virtual Soccer,1994,Hudson Soft,Probe
Vortex,1994,Electro Brain,Argonaut Software
War 2410,1995,Advanced Productions,Advanced Productions
War 3010: The REvolution,1996,Advanced Productions,Advanced Productions
Wario's Woods,1994,Nintendo,Nintendo R&D 1
Warlock,1995,IJN,Realtime Associates
Warpspeed,1992,Accolade,Accolade
Waterworld,1995,Ocean Software,Ocean Software
Wayne Gretzky and the NHLPA All-Stars,1995,Time Warner Interactive,Time Warner Interactive
Wayne's World,1993,THQ,Gray Matter
WCW Superbrawl Wrestling,1994,FCI,Beam Software
Weaponlord,1995,Namco,Visual Concepts
We're back! A Dinosaur's Story,1993,Hi Tech Expressions,Visual Concepts
Wheel of Fortune: Featuring Vanna White,1992,GameTek,Imagitec Design
Wheel of Fortune: Deluxe Edition,1994,GameTek,Imagitec Design
Where in the World is Carmen Sandiego,1993,Hi Tech Expressions,EA Canada
Whirlo,1992,Namco,Namco
Whizz,1996,Titus Software,Flair Software
WILDC.A.T.S Covert Action Teams,1995,Playmates,Beam Software
Wild Guns,1995,Natsume,Natsume
Wildsnake,1994,Spectrum Holobyte,Manley & Associates
Williams Arcade's Greatest Hits,1996,Williams Entertainment,Digital Eclipse Software
Wing Commander,1992,Mindscape,Origin Systems
Wing Commander: The Secret Missions,1993,Mindscape,Origin Systems
Wings 2: Aces High,1992,Namco,Namco
Winter Gold,1996,Nintendo,Funcom
Winter Olumpic Games: Lillehammer '94,1994,US Gold,Tiertex
The Wizard of Oz,1993,SETA,Manley & Associates
Wizardry V: Heart of The Maelstrom,1994,Capcom,ASCII Entertainment
Wolfchild,1993,Virgin Interactive,Core Design
Wolfenstein 3D,1994,Imagineer,Imagineer
Wolvering: Adamantium Rage,1994,IJN,Bits Studios
Wordtris,1992,Spectrum Holobyte,Bullet-Proof Software
World Class Rugby,1993,Imagineer,Denton Designs / Misawa
World Cup Striker,1994,Elite / Atlus,Rage Software
World Cup USA 94,1994,US Gold,Tiertex
World Heroes,1993,Sunsoft,Sunsoft
World Heroes 2,1994,Takura,Saurus
World League Soccer,1992,Mindscape,Anco
World Masters Golf,1995,Virgin Interactive,Ace Developments
Worms,1996,Ocean Software,Team 17
WWF SUper Wrestlemania,1992,IJN,Sculptured Software
WWF Royal Rumble,1993,IJN,Sculptured Software
WWF Raw,1994,Acclaim,Sculptured Software
WWF Wrestlemania: The Arcade Game,1995,Acclaim,Sculptured Software
Xardion,1992,Asmik Ace Entertainment,Asmik Ace Entertainment
X-Kaliber 2097,1994,Activision,Toshiba EMI
X-Men: Mutant Apocalypse,1994,Capcom,Capcom
X-Zone,1992,Kemco,Kemco
Yoshi's Cookie,1993,Bullet-Proof Software,Bullet-Proof Software
Yoshi's Safari,1993,Nintendo,Nintendo R&D 1
Young Merlin,1994,Virgin Interactive,Westwood Studios
YS |||: Wanderers From Ys,1992,American Sammy,Tonkin House
Zero the Kamikaze Squirrel,1994,Sunsoft,Iguana Entertainment
Zombies Ate My NEighbours,1993,Konami,LucasArts
Zool,1993,GameTek,Gremlin Interactive
Zoop,1995,Viacom New Media,Hookstone Productions
